15:17:06.230 INFO || [ READ SC3 | D10-0011000000001100 | D11-1001000000000000 | D12-0000 | D13-0000 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:07.856 INFO || [ READ SC3 | D10-0010010010001100 | D11-1000100000000000 | D12-0000 | D13-0000 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:09.083 INFO || [ READ SC3 | D10-0000010010001100 | D11-1000000000000000 | D12-0000 | D13-0000 | D14-0002 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:09.135 INFO || [ COMD SC3 | Begining Proc Step[2]| SCIO UPDATE Success | Loading -> UnLoading ]
15:17:10.396 INFO || [ READ SC3 | D10-0000010010001100 | D11-1000000000000000 | D12-0000 | D13-0002 | D14-0003 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:11.642 INFO || [ READ SC3 | D10-0000010010001100 | D11-1000100000000000 | D12-0000 | D13-0004 | D14-0004 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:12.899 INFO || [ READ SC3 | D10-0000010010001100 | D11-1000000000000000 | D12-0000 | D13-0006 | D14-0004 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:14.148 INFO || [ READ SC3 | D10-0011010010001100 | D11-1000000000000000 | D12-0000 | D13-0008 | D14-0005 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:15.454 INFO || [ READ SC3 | D10-0001010010001100 | D11-1000100000000000 | D12-0000 | D13-0008 | D14-0005 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:16.680 INFO || [ READ SC3 | D10-0001010010001100 | D11-1000100000000000 | D12-0000 | D13-0008 | D14-0005 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
15:17:17.963 INFO || [ READ SC3 | D10-0011010010001100 | D11-1000000000000000 | D12-0000 | D13-0009 | D14-0005 | D15-0001 | D16-0002 | D17-0000 | D18-0002 | D19-0001 | D20-0009 | D21-0005 ]
